
2024/09/19 (14:25:29) | DEBUG: Shared::init() : Initialized.
2024/09/19 (14:25:29) | DEBUG: Loading theme file: /home/novo/.config/btop/themes/catppuccin_mocha.theme

2024/09/20 (22:04:16) | ===> btop++ v.1.3.2
2024/09/20 (22:04:16) | INFO: Logger set to DEBUG
2024/09/20 (22:04:16) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
2024/09/20 (22:04:16) | INFO: Running on /dev/pts/1
2024/09/20 (22:04:16) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/09/20 (22:04:16) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/09/20 (22:04:16) | DEBUG: Shared::init() : Initialized.
2024/09/20 (22:04:16) | DEBUG: Loading theme file: /home/novo/.config/btop/themes/catppuccin_mocha.theme
2024/09/20 (22:09:37) | DEBUG: Writing new config file
2024/09/20 (22:09:37) | INFO: Quitting! Runtime: 00:05:21

2024/09/21 (13:29:13) | ===> btop++ v.1.3.2
2024/09/21 (13:29:13) | INFO: Logger set to DEBUG
2024/09/21 (13:29:13) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
2024/09/21 (13:29:13) | INFO: Running on /dev/pts/0
2024/09/21 (13:29:13) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/09/21 (13:29:13) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/09/21 (13:29:13) | DEBUG: Shared::init() : Initialized.
2024/09/21 (13:29:13) | DEBUG: Loading theme file: /home/novo/.config/btop/themes/catppuccin_mocha.theme

2024/09/27 (18:54:37) | ===> btop++ v.1.3.2
2024/09/27 (18:54:37) | INFO: Logger set to DEBUG
2024/09/27 (18:54:37) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
2024/09/27 (18:54:37) | INFO: Running on /dev/pts/0
2024/09/27 (18:54:37) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/09/27 (18:54:37) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/09/27 (18:54:37) | DEBUG: Shared::init() : Initialized.
2024/09/27 (18:54:37) | DEBUG: Loading theme file: /home/novo/.config/btop/themes/catppuccin_mocha.theme

2024/10/02 (13:34:36) | ===> btop++ v.1.4.0
2024/10/02 (13:34:36) | INFO: Logger set to DEBUG
2024/10/02 (13:34:36) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
2024/10/02 (13:34:36) | INFO: Running on /dev/pts/1
2024/10/02 (13:34:36) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/10/02 (13:34:36) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/10/02 (13:34:36) | DEBUG: Failed to find Intel GPU sysfs path, Intel GPUs will not be detected
2024/10/02 (13:34:36) | DEBUG: Shared::init() : Initialized.
2024/10/02 (13:34:36) | DEBUG: Loading theme file: /home/novo/.config/btop/themes/catppuccin_mocha.theme

2024/10/05 (08:47:25) | ===> btop++ v.1.4.0
2024/10/05 (08:47:25) | INFO: Logger set to DEBUG
2024/10/05 (08:47:25) | DEBUG: Writing new config file
2024/10/05 (08:47:25) | ERROR: No UTF-8 locale detected!
Use --utf-force argument to force start if you're sure your terminal can handle it.
2024/10/05 (08:47:25) | INFO: Quitting! Runtime: 00:00:00

2024/10/05 (17:38:59) | ===> btop++ v.1.4.0
2024/10/05 (17:38:59) | INFO: Logger set to DEBUG
2024/10/05 (17:38:59) | ERROR: No UTF-8 locale detected!
Use --utf-force argument to force start if you're sure your terminal can handle it.
2024/10/05 (17:38:59) | INFO: Quitting! Runtime: 00:00:00

2024/10/05 (17:39:13) | ===> btop++ v.1.4.0
2024/10/05 (17:39:13) | INFO: Logger set to DEBUG
